date,open,high,low,close,volume,amount,code,name,type
2025-02-24,6.549,6.586,6.539,6.581,246679300,1620085717,518880,黄金ETF,gold
2025-02-25,6.605,6.611,6.575,6.582,264729920,1745731792,518880,黄金ETF,gold
2025-02-26,6.562,6.564,6.515,6.519,294958637,1929025426,518880,黄金ETF,gold
2025-02-27,6.533,6.541,6.484,6.492,303901035,1978797942,518880,黄金ETF,gold
2025-02-28,6.479,6.487,6.435,6.444,280864400,1814366434,518880,黄金ETF,gold
2025-03-03,6.445,6.455,6.435,6.451,258749948,1668225513,518880,黄金ETF,gold
2025-03-04,6.49,6.507,6.487,6.499,265743800,1726309042,518880,黄金ETF,gold
2025-03-05,6.523,6.551,6.521,6.547,221884099,1449964026,518880,黄金ETF,gold
2025-03-06,6.53,6.546,6.527,6.535,187622976,1226197910,518880,黄金ETF,gold
2025-03-07,6.506,6.529,6.503,6.526,212238683,1382860823,518880,黄金ETF,gold
2025-03-10,6.531,6.545,6.526,6.544,168135603,1098905803,518880,黄金ETF,gold
2025-03-11,6.491,6.506,6.488,6.505,217070800,1409808324,518880,黄金ETF,gold
2025-03-12,6.518,6.534,6.512,6.526,133572500,871152793,518880,黄金ETF,gold
2025-03-13,6.573,6.583,6.57,6.575,180621750,1187629547,518880,黄金ETF,gold
2025-03-14,6.693,6.693,6.662,6.673,337064300,2249855859,518880,黄金ETF,gold
2025-03-17,6.674,6.678,6.659,6.677,261227100,1742579560,518880,黄金ETF,gold
2025-03-18,6.688,6.73,6.688,6.727,247618300,1662780921,518880,黄金ETF,gold
2025-03-19,6.757,6.806,6.754,6.8,332646700,2256310869,518880,黄金ETF,gold
2025-03-20,6.82,6.825,6.799,6.807,288580577,1965397258,518880,黄金ETF,gold
2025-03-21,6.808,6.81,6.762,6.774,259905579,1763391430,518880,黄金ETF,gold
2025-03-24,6.77,6.782,6.758,6.78,152890422,1035354851,518880,黄金ETF,gold
2025-03-25,6.758,6.778,6.751,6.774,188173300,1272978958,518880,黄金ETF,gold
2025-03-26,6.78,6.797,6.775,6.795,192888100,1309338099,518880,黄金ETF,gold
2025-03-27,6.797,6.817,6.791,6.812,224529007,1528152970,518880,黄金ETF,gold
2025-03-28,6.912,6.939,6.894,6.938,423633499,2930627896,518880,黄金ETF,gold
2025-03-31,6.942,7.045,6.942,7.012,674686354,4717070932,518880,黄金ETF,gold
2025-04-01,7.065,7.098,7.041,7.056,718259725,5075882645,518880,黄金ETF,gold
2025-04-02,7.07,7.083,7.019,7.029,418580916,2951070225,518880,黄金ETF,gold
2025-04-03,7.135,7.173,7.068,7.094,726074050,5174808439,518880,黄金ETF,gold
2025-04-07,6.801,7.06,6.8,6.877,1275784486,8819492014,518880,黄金ETF,gold
2025-04-08,6.878,6.938,6.852,6.925,623642763,4294930105,518880,黄金ETF,gold
2025-04-09,6.89,7.02,6.888,7.012,783359970,5435770622,518880,黄金ETF,gold
2025-04-10,7.134,7.166,7.071,7.164,931201615,6642456530,518880,黄金ETF,gold
2025-04-11,7.34,7.34,7.225,7.273,969046516,7073077660,518880,黄金ETF,gold
2025-04-14,7.301,7.354,7.301,7.327,788278877,5780997530,518880,黄金ETF,gold
2025-04-15,7.327,7.334,7.315,7.325,420590242,3081021799,518880,黄金ETF,gold
2025-04-16,7.44,7.506,7.421,7.503,749850988,5597029960,518880,黄金ETF,gold
2025-04-17,7.655,7.66,7.541,7.565,1007652486,7643429582,518880,黄金ETF,gold
2025-04-18,7.564,7.589,7.533,7.583,478054139,3617039900,518880,黄金ETF,gold
2025-04-21,7.684,7.727,7.677,7.724,751194584,5780384756,518880,黄金ETF,gold
2025-04-22,7.871,8.033,7.86,7.982,1519502089,12093412697,518880,黄金ETF,gold
2025-04-23,7.759,7.759,7.486,7.5,2564688817,19562766019,518880,黄金ETF,gold
2025-04-24,7.67,7.707,7.55,7.582,1303473358,9946839718,518880,黄金ETF,gold
2025-04-25,7.641,7.656,7.486,7.53,998594300,7560930098,518880,黄金ETF,gold
2025-04-28,7.499,7.511,7.443,7.465,807300957,6031534039,518880,黄金ETF,gold
2025-04-29,7.561,7.586,7.485,7.517,630471289,4749487800,518880,黄金ETF,gold
2025-04-30,7.525,7.529,7.467,7.471,437292760,3276215482,518880,黄金ETF,gold
2025-05-06,7.596,7.659,7.57,7.612,984527034,7499496274,518880,黄金ETF,gold
2025-05-07,7.614,7.678,7.588,7.671,751864933,5748539067,518880,黄金ETF,gold
2025-05-08,7.679,7.732,7.538,7.557,1112851087,8503906698,518880,黄金ETF,gold
2025-05-09,7.502,7.555,7.427,7.531,887300929,6647216055,518880,黄金ETF,gold
2025-05-12,7.341,7.399,7.341,7.376,668199236,4930947745,518880,黄金ETF,gold
2025-05-13,7.291,7.339,7.224,7.332,905216614,6588647174,518880,黄金ETF,gold
2025-05-14,7.309,7.322,7.265,7.277,548179300,3996673209,518880,黄金ETF,gold
2025-05-15,7.165,7.169,7.01,7.062,1290123946,9132430391,518880,黄金ETF,gold
2025-05-16,7.195,7.204,7.157,7.177,855274788,6143784727,518880,黄金ETF,gold
2025-05-19,7.206,7.231,7.193,7.222,633277100,4567415868,518880,黄金ETF,gold
2025-05-20,7.217,7.238,7.196,7.209,460862770,3324544898,518880,黄金ETF,gold
2025-05-21,7.381,7.44,7.376,7.439,754386545,5587558730,518880,黄金ETF,gold
2025-05-22,7.478,7.505,7.448,7.45,727054800,5439783047,518880,黄金ETF,gold
2025-05-23,7.405,7.457,7.373,7.454,605935900,4495380260,518880,黄金ETF,gold
2025-05-26,7.438,7.472,7.423,7.425,442308700,3294213684,518880,黄金ETF,gold
2025-05-27,7.434,7.456,7.356,7.366,603457313,4472910506,518880,黄金ETF,gold
2025-05-28,7.369,7.389,7.341,7.375,304997600,2247365541,518880,黄金ETF,gold
2025-05-29,7.263,7.31,7.26,7.3,423281700,3084681573,518880,黄金ETF,gold
2025-05-30,7.39,7.391,7.335,7.369,363573703,2675997478,518880,黄金ETF,gold
2025-06-03,7.501,7.519,7.461,7.478,606170700,4544989593,518880,黄金ETF,gold
2025-06-04,7.488,7.503,7.459,7.474,416157150,3113658616,518880,黄金ETF,gold
2025-06-05,7.499,7.504,7.469,7.483,338533600,2534787070,518880,黄金ETF,gold
2025-06-06,7.477,7.492,7.469,7.481,375355132,2807696362,518880,黄金ETF,gold
2025-06-09,7.364,7.401,7.331,7.4,505825100,3726449040,518880,黄金ETF,gold
2025-06-10,7.366,7.42,7.353,7.405,517795889,3822935723,518880,黄金ETF,gold
2025-06-11,7.42,7.436,7.404,7.428,360699753,2677639427,518880,黄金ETF,gold
2025-06-12,7.505,7.512,7.474,7.497,389463130,2919654502,518880,黄金ETF,gold
2025-06-13,7.616,7.653,7.57,7.588,888062400,6764698782,518880,黄金ETF,gold
2025-06-16,7.629,7.634,7.548,7.563,663731179,5041475386,518880,黄金ETF,gold
2025-06-17,7.525,7.528,7.47,7.499,503152168,3775707856,518880,黄金ETF,gold
2025-06-18,7.499,7.527,7.476,7.503,384865270,2886557970,518880,黄金ETF,gold
2025-06-19,7.5,7.506,7.444,7.465,366857400,2741981668,518880,黄金ETF,gold
2025-06-20,7.46,7.464,7.423,7.436,365250300,2717567425,518880,黄金ETF,gold
2025-06-23,7.452,7.485,7.441,7.464,368519740,2750226776,518880,黄金ETF,gold
2025-06-24,7.431,7.44,7.354,7.372,581647312,4305391870,518880,黄金ETF,gold
2025-06-25,7.378,7.398,7.376,7.392,284710700,2103580236,518880,黄金ETF,gold
2025-06-26,7.39,7.406,7.385,7.405,277147880,2049012994,518880,黄金ETF,gold
2025-06-27,7.365,7.375,7.311,7.326,455853400,3345234504,518880,黄金ETF,gold
2025-06-30,7.3,7.321,7.274,7.314,336657400,2457750199,518880,黄金ETF,gold
2025-07-01,7.359,7.4,7.346,7.397,347867947,2564118180,518880,黄金ETF,gold
2025-07-02,7.395,7.418,7.384,7.394,291654800,2157429707,518880,黄金ETF,gold
2025-07-03,7.407,7.453,7.407,7.445,295990300,2199395168,518880,黄金ETF,gold
2025-07-04,7.4,7.413,7.376,7.407,257229100,1902194152,518880,黄金ETF,gold
2025-07-07,7.348,7.367,7.344,7.355,281784400,2072584679,518880,黄金ETF,gold
2025-07-08,7.397,7.406,7.389,7.398,217899576,1612084341,518880,黄金ETF,gold
2025-07-09,7.347,7.348,7.304,7.314,425534100,3116306560,518880,黄金ETF,gold
2025-07-10,7.371,7.38,7.358,7.371,302003773,2225855850,518880,黄金ETF,gold
2025-07-11,7.375,7.392,7.372,7.376,261655404,1931126841,518880,黄金ETF,gold
2025-07-14,7.426,7.445,7.413,7.44,267188547,1983515657,518880,黄金ETF,gold
2025-07-15,7.41,7.445,7.401,7.436,268931110,1996432231,518880,黄金ETF,gold
2025-07-16,7.394,7.407,7.378,7.402,239071350,1767210158,518880,黄金ETF,gold
2025-07-17,7.403,7.411,7.386,7.397,208316994,1541460812,518880,黄金ETF,gold
2025-07-18,7.394,7.407,7.391,7.403,184028487,1361500094,518880,黄金ETF,gold
2025-07-21,7.43,7.454,7.42,7.446,300457429,2233893918,518880,黄金ETF,gold
2025-07-22,7.483,7.489,7.47,7.474,362003425,2707621582,518880,黄金ETF,gold
2025-07-23,7.54,7.549,7.525,7.548,314107164,2368464628,518880,黄金ETF,gold
2025-07-24,7.459,7.461,7.415,7.424,440510942,3275368218,518880,黄金ETF,gold
2025-07-25,7.415,7.421,7.399,7.409,254762663,1887414454,518880,黄金ETF,gold
2025-07-28,7.382,7.398,7.367,7.388,284143328,2096675236,518880,黄金ETF,gold
2025-07-29,7.35,7.366,7.345,7.363,263161641,1936018254,518880,黄金ETF,gold
2025-07-30,7.387,7.389,7.367,7.377,281773628,2078603635,518880,黄金ETF,gold
2025-07-31,7.329,7.356,7.315,7.35,304165711,2231589344,518880,黄金ETF,gold
2025-08-01,7.343,7.366,7.331,7.352,192399599,1413896110,518880,黄金ETF,gold
2025-08-04,7.432,7.447,7.432,7.446,426113592,3170843970,518880,黄金ETF,gold
2025-08-05,7.481,7.486,7.454,7.455,322458715,2408802907,518880,黄金ETF,gold
2025-08-06,7.472,7.482,7.46,7.468,266181951,1988337088,518880,黄金ETF,gold
2025-08-07,7.471,7.488,7.459,7.484,313642201,2344129227,518880,黄金ETF,gold
2025-08-08,7.488,7.513,7.488,7.508,338060349,2535544417,518880,黄金ETF,gold
2025-08-11,7.452,7.46,7.423,7.429,359688810,2678359430,518880,黄金ETF,gold
2025-08-12,7.412,7.416,7.393,7.399,281491669,2084438530,518880,黄金ETF,gold
2025-08-13,7.395,7.416,7.394,7.415,230600612,1707832442,518880,黄金ETF,gold
2025-08-14,7.431,7.438,7.413,7.424,228780544,1698855241,518880,黄金ETF,gold
2025-08-15,7.384,7.41,7.381,7.401,208044000,1538722974,518880,黄金ETF,gold
2025-08-18,7.398,7.43,7.393,7.413,228171106,1690072000,518880,黄金ETF,gold
2025-08-19,7.386,7.4,7.386,7.391,182699299,1350510204,518880,黄金ETF,gold
2025-08-20,7.362,7.377,7.35,7.374,204963900,1509440993,518880,黄金ETF,gold
2025-08-21,7.403,7.408,7.387,7.394,223292731,1652146836,518880,黄金ETF,gold
2025-08-22,7.395,7.4,7.373,7.378,194928678,1439892466,518880,黄金ETF,gold
2025-08-25,7.419,7.43,7.417,7.427,288572434,2141946403,518880,黄金ETF,gold
2025-08-26,7.437,7.45,7.437,7.449,293532600,2185176566,518880,黄金ETF,gold
2025-08-27,7.461,7.461,7.444,7.45,235912901,1758733831,518880,黄金ETF,gold
2025-08-28,7.462,7.47,7.459,7.468,223107284,1665240691,518880,黄金ETF,gold
2025-08-29,7.48,7.488,7.478,7.486,217764686,1629642851,518880,黄金ETF,gold
2025-09-01,7.546,7.658,7.542,7.647,844514784,6431354808,518880,黄金ETF,gold
2025-09-02,7.75,7.75,7.663,7.67,650604808,5006529827,518880,黄金ETF,gold
2025-09-03,7.76,7.787,7.746,7.768,535458390,4158516363,518880,黄金ETF,gold
2025-09-04,7.795,7.795,7.694,7.75,561861413,4352594756,518880,黄金ETF,gold
2025-09-05,7.773,7.782,7.755,7.775,344149544,2674763266,518880,黄金ETF,gold
2025-09-08,7.811,7.848,7.808,7.847,413909759,3240893040,518880,黄金ETF,gold
2025-09-09,7.934,7.987,7.928,7.966,695908132,5537633289,518880,黄金ETF,gold
2025-09-10,7.906,7.953,7.898,7.947,398608908,3160253380,518880,黄金ETF,gold
2025-09-11,7.963,7.968,7.901,7.923,410933374,3259869667,518880,黄金ETF,gold
2025-09-12,7.932,7.966,7.932,7.954,328766845,2613712618,518880,黄金ETF,gold
2025-09-15,7.908,7.947,7.907,7.931,285290527,2262570508,518880,黄金ETF,gold
2025-09-16,8.007,8.034,7.988,8.032,339497584,2718705446,518880,黄金ETF,gold
2025-09-17,8.01,8.01,7.955,7.964,428296395,3417850247,518880,黄金ETF,gold
2025-09-18,7.901,7.949,7.859,7.862,556562627,4399557224,518880,黄金ETF,gold
2025-09-19,7.901,7.917,7.869,7.898,323799619,2556742578,518880,黄金ETF,gold
2025-09-22,8.005,8.058,7.984,8.048,453251935,3632554944,518880,黄金ETF,gold
2025-09-23,8.125,8.149,8.105,8.143,511550370,4158136063,518880,黄金ETF,gold
2025-09-24,8.141,8.204,8.123,8.19,439901080,3591418429,518880,黄金ETF,gold
2025-09-25,8.16,8.164,8.116,8.146,444111704,3614722212,518880,黄金ETF,gold
2025-09-26,8.15,8.183,8.147,8.16,384548100,3138261886,518880,黄金ETF,gold
2025-09-29,8.177,8.268,8.174,8.259,532950667,4380687035,518880,黄金ETF,gold
2025-09-30,8.324,8.388,8.324,8.339,666956876,5576070203,518880,黄金ETF,gold
2025-10-09,8.724,8.779,8.69,8.729,801442472,6996319980,518880,黄金ETF,gold
2025-10-10,8.637,8.651,8.586,8.602,641470935,5528015329,518880,黄金ETF,gold
2025-10-13,8.77,8.868,8.77,8.859,773948022,6826004392,518880,黄金ETF,gold
2025-10-14,9.1,9.377,8.878,8.976,1667960506,15094002873,518880,黄金ETF,gold
2025-10-15,9.143,9.19,9.09,9.187,919314119,8404693734,518880,黄金ETF,gold
2025-10-16,9.23,9.288,9.198,9.244,1040915876,9625793165,518880,黄金ETF,gold
2025-10-17,9.497,9.587,9.361,9.568,1586342550,15083487665,518880,黄金ETF,gold
2025-10-20,9.308,9.367,9.25,9.268,1205698499,11239083883,518880,黄金ETF,gold
2025-10-21,9.526,9.526,9.425,9.49,999521780,9473507963,518880,黄金ETF,gold
2025-10-22,8.986,9.106,8.95,9.101,1407669227,12694570824,518880,黄金ETF,gold
2025-10-23,8.98,9.052,8.92,8.994,932066467,8366775476,518880,黄金ETF,gold
2025-10-24,9.048,9.053,8.933,8.95,740082055,6652958689,518880,黄金ETF,gold
2025-10-27,8.948,8.949,8.897,8.914,675437497,6024338869,518880,黄金ETF,gold
2025-10-28,8.79,8.79,8.591,8.597,1085475713,9433291725,518880,黄金ETF,gold
2025-10-29,8.68,8.699,8.622,8.692,799957387,6929137801,518880,黄金ETF,gold
2025-10-30,8.635,8.706,8.559,8.704,1025527342,8858790469,518880,黄金ETF,gold
2025-10-31,8.81,8.822,8.748,8.794,771949636,6782774235,518880,黄金ETF,gold
2025-11-03,8.743,8.801,8.737,8.797,465811303,4085511859,518880,黄金ETF,gold
2025-11-04,8.745,8.756,8.705,8.737,531122927,4638166862,518880,黄金ETF,gold
2025-11-05,8.654,8.732,8.641,8.706,476092329,4136619619,518880,黄金ETF,gold
2025-11-06,8.718,8.757,8.706,8.755,409443562,3576860604,518880,黄金ETF,gold
2025-11-07,8.769,8.798,8.755,8.793,427264748,3747892162,518880,黄金ETF,gold
2025-11-10,8.869,8.949,8.856,8.936,758507494,6751619483,518880,黄金ETF,gold
2025-11-11,9.138,9.138,9.049,9.062,828106585,7518834240,518880,黄金ETF,gold
2025-11-12,9.058,9.068,8.984,9.029,658718382,5948310393,518880,黄金ETF,gold
2025-11-13,9.157,9.184,9.134,9.175,651400798,5968013292,518880,黄金ETF,gold
2025-11-14,9.099,9.18,9.09,9.096,716187519,6540777396,518880,黄金ETF,gold
2025-11-17,8.922,8.969,8.842,8.882,812669365,7238287561,518880,黄金ETF,gold
2025-11-18,8.837,8.837,8.77,8.777,583681281,5133558167,518880,黄金ETF,gold
2025-11-19,8.89,8.968,8.873,8.954,604136017,5392419257,518880,黄金ETF,gold
2025-11-20,8.959,8.969,8.865,8.903,633776232,5649454182,518880,黄金ETF,gold
2025-11-21,8.888,8.921,8.824,8.828,684293990,6071459200,518880,黄金ETF,gold
2025-11-24,8.858,8.865,8.829,8.857,468144900,4141386255,518880,黄金ETF,gold
2025-11-25,8.99,9.039,8.99,9.01,642314263,5789627417,518880,黄金ETF,gold
2025-11-26,9.015,9.048,9.003,9.011,509052124,4596141094,518880,黄金ETF,gold
2025-11-27,9.003,9.017,8.986,9.01,380715268,3427665091,518880,黄金ETF,gold
2025-11-28,9.084,9.09,9.051,9.067,397292813,3603374123,518880,黄金ETF,gold
2025-12-01,9.146,9.204,9.128,9.161,731858399,6708010683,518880,黄金ETF,gold
2025-12-02,9.118,9.145,9.088,9.112,447517819,4083289907,518880,黄金ETF,gold
2025-12-03,9.118,9.143,9.084,9.096,460723335,4198884820,518880,黄金ETF,gold
2025-12-04,9.107,9.125,9.035,9.064,558462141,5070761141,518880,黄金ETF,gold
2025-12-05,9.094,9.148,9.084,9.136,415965811,3791528369,518880,黄金ETF,gold
2025-12-08,9.107,9.119,9.078,9.11,431705623,3929192887,518880,黄金ETF,gold
2025-12-09,9.075,9.082,9.026,9.046,477281632,4322621349,518880,黄金ETF,gold
2025-12-10,9.114,9.118,9.081,9.095,341858428,3111335234,518880,黄金ETF,gold
2025-12-11,9.157,9.165,9.095,9.11,466634993,4260705305,518880,黄金ETF,gold
2025-12-12,9.201,9.23,9.191,9.227,476618809,4388186109,518880,黄金ETF,gold
2025-12-15,9.298,9.36,9.297,9.351,567902846,5297510203,518880,黄金ETF,gold
2025-12-16,9.272,9.296,9.199,9.24,519626708,4805902569,518880,黄金ETF,gold
2025-12-17,9.283,9.345,9.283,9.31,452083592,4209416976,518880,黄金ETF,gold
2025-12-18,9.311,9.327,9.302,9.318,317805610,2961343686,518880,黄金ETF,gold
2025-12-19,9.29,9.321,9.273,9.313,370300316,3443922186,518880,黄金ETF,gold
2025-12-22,9.38,9.514,9.38,9.511,691875423,6534234042,518880,黄金ETF,gold
2025-12-23,9.63,9.689,9.608,9.639,902281420,8709327485,518880,黄金ETF,gold
2025-12-24,9.719,9.722,9.613,9.642,738436899,7136924986,518880,黄金ETF,gold
2025-12-25,9.571,9.58,9.539,9.566,431157619,4123112968,518880,黄金ETF,gold
2025-12-26,9.67,9.68,9.618,9.65,489825336,4726243848,518880,黄金ETF,gold
2025-12-29,9.64,9.667,9.55,9.563,714496669,6877104094,518880,黄金ETF,gold
2025-12-30,9.272,9.402,9.272,9.363,861555822,8058585692,518880,黄金ETF,gold
2025-12-31,9.359,9.392,9.196,9.301,887315417,8255346608,518880,黄金ETF,gold
2026-01-05,9.421,9.499,9.421,9.495,683271028,6465146234,518880,黄金ETF,gold
2026-01-06,9.536,9.606,9.528,9.577,531345738,5085365304,518880,黄金ETF,gold
2026-01-07,9.6,9.601,9.511,9.518,616398514,5894333390,518880,黄金ETF,gold
2026-01-08,9.555,9.559,9.474,9.511,483834991,4604940099,518880,黄金ETF,gold
2026-01-09,9.544,9.596,9.544,9.592,379190390,3629946415,518880,黄金ETF,gold
2026-01-12,9.779,9.791,9.736,9.777,493501700,4822414247,518880,黄金ETF,gold
2026-01-13,9.79,9.825,9.771,9.793,398236725,3901169996,518880,黄金ETF,gold
2026-01-14,9.871,9.925,9.869,9.922,436952117,4321616075,518880,黄金ETF,gold
2026-01-15,9.861,9.883,9.82,9.867,554292206,5460435940,518880,黄金ETF,gold
2026-01-16,9.851,9.874,9.828,9.857,327843149,3228858975,518880,黄金ETF,gold
2026-01-19,9.962,10.009,9.96,10.006,480621154,4797229646,518880,黄金ETF,gold
2026-01-20,10.005,10.095,9.983,10.082,533806706,5362959212,518880,黄金ETF,gold
2026-01-21,10.365,10.501,10.322,10.377,984509622,10230345643,518880,黄金ETF,gold
2026-01-22,10.29,10.343,10.23,10.341,719685837,7398945407,518880,黄金ETF,gold
2026-01-23,10.618,10.643,10.585,10.617,729889496,7746553192,518880,黄金ETF,gold
2026-01-26,10.886,10.955,10.848,10.924,960474483,10463068625,518880,黄金ETF,gold
2026-01-27,10.883,10.946,10.848,10.934,771107250,8395732861,518880,黄金ETF,gold
2026-01-28,11.11,11.288,11.109,11.28,1066201004,11961498145,518880,黄金ETF,gold
2026-01-29,11.918,11.977,11.796,11.904,1497107926,17799095491,518880,黄金ETF,gold
2026-01-30,11.471,11.533,10.8,11.009,2301609692,25777505557,518880,黄金ETF,gold
2026-02-02,9.908,10.245,9.908,9.908,1899820420,19145014244,518880,黄金ETF,gold
2026-02-03,10.355,10.461,10.105,10.422,2100916676,21613177107,518880,黄金ETF,gold
2026-02-04,10.795,10.904,10.738,10.867,1424298936,15412917353,518880,黄金ETF,gold
2026-02-05,10.61,10.695,10.3,10.523,1909045495,20057436535,518880,黄金ETF,gold
2026-02-06,10.079,10.523,10.05,10.357,1841278975,19034272998,518880,黄金ETF,gold
2026-02-09,10.72,10.75,10.61,10.719,1161222745,12418166669,518880,黄金ETF,gold
2026-02-10,10.686,10.733,10.661,10.669,702600061,7513073622,518880,黄金ETF,gold
2026-02-11,10.704,10.765,10.7,10.758,681826714,7317564815,518880,黄金ETF,gold
2026-02-12,10.72,10.752,10.7,10.72,600479350,6445229523,518880,黄金ETF,gold
2026-02-13,10.582,10.617,10.508,10.575,769392258,8131354160,518880,黄金ETF,gold
