date,open,close,low,high,volume,amount,change_pct,stock_code
2020-01-02,12.179,12.458,12.647,12.042,80538.0,,,300604.SZ
2020-01-03,12.426,12.421,12.8,12.305,82306.0,,-0.2969979129876399,300604.SZ
2020-01-06,12.095,12.563,12.758,11.968,73934.0,,1.1432251831575702,300604.SZ
2020-01-07,12.653,12.347,12.653,12.179,82609.0,,-1.719334553848606,300604.SZ
2020-01-08,12.363,11.958,12.363,11.958,62742.0,,-3.1505628897707916,300604.SZ
2020-01-09,12.074,12.168,12.226,11.995,54190.0,,1.756146512794765,300604.SZ
2020-01-10,12.253,12.332,12.537,12.116,83135.0,,1.347797501643666,300604.SZ
2020-01-13,12.226,13.142,13.153,12.179,147701.0,,6.56827765163801,300604.SZ
2020-01-14,13.074,12.747,13.216,12.695,117185.0,,-3.0056308020088185,300604.SZ
2020-01-15,12.695,12.937,13.063,12.6,97640.0,,1.4905467953243878,300604.SZ
2020-01-16,12.932,13.505,13.89,12.837,148267.0,,4.390507845713865,300604.SZ
2020-01-17,13.432,13.826,13.863,13.284,115223.0,,2.376897445390602,300604.SZ
2020-01-20,13.695,14.9,15.253,13.647,224087.0,,7.767973383480409,300604.SZ
2020-01-21,14.668,15.068,15.679,14.547,161465.0,,1.127516778523474,300604.SZ
2020-01-22,14.705,16.384,16.621,14.547,169527.0,,8.7337403769578,300604.SZ
2020-01-23,15.847,15.221,16.29,14.705,158310.0,,-7.098388671875,300604.SZ
2020-02-03,13.653,13.653,13.9,13.653,129590.0,,-10.301557059325928,300604.SZ
2020-02-04,14.079,14.653,14.758,14.079,116978.0,,7.324397568300012,300604.SZ
2020-02-05,14.553,15.195,15.5,14.39,117502.0,,3.6989012488910067,300604.SZ
2020-02-06,14.916,15.511,15.747,14.816,107693.0,,2.0796314577163466,300604.SZ
2020-02-07,15.337,15.684,15.858,15.179,116605.0,,1.1153375024176349,300604.SZ
2020-02-10,15.442,15.279,15.832,15.0,94158.0,,-2.582249426166794,300604.SZ
2020-02-11,15.284,14.926,15.49,14.911,83187.0,,-2.3103606256953957,300604.SZ
2020-02-12,14.968,15.284,15.39,14.758,103780.0,,2.398499263030951,300604.SZ
2020-02-13,15.19,15.811,16.732,15.126,148028.0,,3.448050248626,300604.SZ
2020-02-14,15.863,16.29,16.916,15.763,140589.0,,3.0295363987097534,300604.SZ
2020-02-17,16.547,16.642,16.795,16.184,109598.0,,2.160834868017192,300604.SZ
2020-02-18,16.916,17.363,17.695,16.695,122231.0,,4.332411969715189,300604.SZ
2020-02-19,16.921,17.742,18.49,16.921,135806.0,,2.182802511086801,300604.SZ
2020-02-20,17.49,17.563,17.953,16.816,110595.0,,-1.0089054221621097,300604.SZ
2020-02-21,17.311,17.737,17.905,17.311,102328.0,,0.9907191254341585,300604.SZ
