date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,ts_code,trade_date
2025-01-02,sh.600519,1524.0000,1524.4900,1480.0000,1488.0000,1524.0000,5002870,7490883773.1900,3,0.398300,1,-2.362200,22.606436,7.863475,11.102072,-450.042569,600519.SH,2025-01-02
2025-01-03,sh.600519,1494.5000,1494.9900,1467.0100,1475.0000,1488.0000,3262836,4836610288.1900,3,0.259700,1,-0.873700,22.408933,7.794775,11.005079,-446.110746,600519.SH,2025-01-03
2025-01-06,sh.600519,1453.0000,1462.6600,1432.8000,1440.0000,1475.0000,4425512,6392479711.6000,3,0.352300,1,-2.372900,21.877196,7.609814,10.743941,-435.525067,600519.SH,2025-01-06
2025-01-07,sh.600519,1444.6600,1451.8900,1439.0000,1440.2000,1440.0000,2422118,3494634226.6600,3,0.192800,1,0.013900,21.880234,7.610871,10.745433,-435.585557,600519.SH,2025-01-07
2025-01-08,sh.600519,1440.0000,1451.8200,1426.6600,1442.5000,1440.2000,3525821,5071821245.9500,3,0.280700,1,0.159700,21.915177,7.623026,10.762594,-436.281187,600519.SH,2025-01-08
2025-01-09,sh.600519,1448.9900,1464.5800,1432.9800,1444.0000,1442.5000,2970565,4295852735.9100,3,0.236500,1,0.104000,21.937966,7.630953,10.773785,-436.734859,600519.SH,2025-01-09
2025-01-10,sh.600519,1447.1000,1451.9500,1436.0000,1436.0000,1444.0000,2187195,3154677597.8400,3,0.174100,1,-0.554000,21.816426,7.588676,10.714097,-434.315275,600519.SH,2025-01-10
2025-01-13,sh.600519,1425.0000,1444.4400,1422.0100,1443.9800,1436.0000,2108251,3030806869.6600,3,0.167800,1,0.555700,21.937662,7.630847,10.773636,-436.728810,600519.SH,2025-01-13
2025-01-14,sh.600519,1444.9500,1478.6800,1442.0000,1472.5000,1443.9800,3095657,4535651503.6400,3,0.246400,1,1.975100,22.370952,7.781564,10.986426,-445.354626,600519.SH,2025-01-14
2025-01-15,sh.600519,1467.0000,1474.6000,1460.0100,1471.2700,1472.5000,1839934,2701518711.8100,3,0.146500,1,-0.083500,22.352265,7.775064,10.977249,-444.982615,600519.SH,2025-01-15
2025-01-16,sh.600519,1474.0000,1482.6600,1442.0000,1446.3800,1471.2700,2634213,3840411436.7900,3,0.209700,1,-1.691700,21.974124,7.643530,10.791543,-437.454685,600519.SH,2025-01-16
2025-01-17,sh.600519,1446.3900,1461.0000,1446.3800,1454.7500,1446.3800,1830894,2663227308.9700,3,0.145700,1,0.578700,22.101285,7.687762,10.853992,-439.986174,600519.SH,2025-01-17
2025-01-20,sh.600519,1461.0000,1489.7900,1460.0000,1474.8000,1454.7500,3140975,4647626350.5300,3,0.250000,1,1.378200,22.405895,7.793718,11.003586,-446.050256,600519.SH,2025-01-20
2025-01-21,sh.600519,1481.0000,1482.0000,1465.0000,1468.1500,1474.8000,1685604,2481821228.8200,3,0.134200,1,-0.450900,22.304865,7.758576,10.953970,-444.038977,600519.SH,2025-01-21
2025-01-22,sh.600519,1463.2700,1467.9500,1438.0000,1441.0000,1468.1500,2829384,4088101682.4000,3,0.225200,1,-1.849300,21.892388,7.615099,10.751402,-435.827515,600519.SH,2025-01-22
2025-01-23,sh.600519,1449.9700,1468.0000,1438.0000,1443.0000,1441.0000,2712504,3932700849.5000,3,0.215900,1,0.138800,21.922773,7.625668,10.766324,-436.432411,600519.SH,2025-01-23
2025-01-24,sh.600519,1442.0000,1447.7900,1430.3100,1436.0000,1443.0000,3136034,4515322685.2100,3,0.249600,1,-0.485100,21.816426,7.588676,10.714097,-434.315275,600519.SH,2025-01-24
2025-01-27,sh.600519,1437.0000,1443.9700,1427.0200,1434.9900,1436.0000,2935646,4213534543.1600,3,0.233700,1,-0.070300,21.801081,7.583339,10.706561,-434.009803,600519.SH,2025-01-27
2025-02-05,sh.600519,1440.0000,1443.0000,1402.2100,1403.8000,1434.9900,4075652,5753730033.6700,3,0.324400,1,-2.173500,21.327227,7.418512,10.473850,-424.576451,600519.SH,2025-02-05
2025-02-06,sh.600519,1400.0100,1421.9900,1400.0100,1412.8400,1403.8000,2735582,3859568162.5200,3,0.217800,1,0.644000,21.464568,7.466285,10.541298,-427.310580,600519.SH,2025-02-06
