date,open,close,low,high,volume,change_pct,amount,stock_code,code,trade_date,preclose,pctChg,turn,tradestatus,adjustflag,peTTM,pbMRQ,psTTM,pcfNcfTTM
2020-01-02,3.87,3.96,3.97,3.85,117383.0,,464836.68,300022.SZ,300022,2020-01-02,,,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-03,3.96,4.04,4.07,3.93,139712.0,2.020202020202011,564436.48,300022.SZ,300022,2020-01-03,3.96,2.020202020202011,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-06,4.02,4.02,4.1,3.96,144299.0,-0.4950495049505066,580081.98,300022.SZ,300022,2020-01-06,4.04,-0.4950495049505066,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-07,4.06,4.04,4.08,4.0,92077.0,0.4975124378109541,371991.08,300022.SZ,300022,2020-01-07,4.02,0.4975124378109541,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-08,4.04,3.93,4.04,3.93,85667.0,-2.722772277227725,336671.31,300022.SZ,300022,2020-01-08,4.04,-2.722772277227725,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-09,3.97,4.0,4.02,3.96,62676.0,1.781170483460559,250704.0,300022.SZ,300022,2020-01-09,3.93,1.781170483460559,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-10,4.0,3.97,4.03,3.96,47940.0,-0.7499999999999951,190321.8,300022.SZ,300022,2020-01-10,4.0,-0.7499999999999951,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-13,3.97,3.97,3.98,3.91,50447.0,0.0,200274.59,300022.SZ,300022,2020-01-13,3.97,0.0,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-14,3.98,4.0,4.0,3.94,70206.0,0.7556675062972307,280824.0,300022.SZ,300022,2020-01-14,3.97,0.7556675062972307,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-15,3.99,3.9,3.99,3.89,58242.0,-2.500000000000002,227143.8,300022.SZ,300022,2020-01-15,4.0,-2.500000000000002,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-16,3.92,4.03,4.12,3.89,213590.0,3.333333333333344,860767.7000000001,300022.SZ,300022,2020-01-16,3.9,3.333333333333344,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-17,4.03,4.21,4.27,4.01,265148.0,4.466501240694787,1116273.08,300022.SZ,300022,2020-01-17,4.03,4.466501240694787,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-20,4.19,4.08,4.2,4.07,111501.0,-3.0878859857482177,454924.08,300022.SZ,300022,2020-01-20,4.21,-3.0878859857482177,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-21,4.04,4.02,4.12,4.01,81013.0,-1.4705882352941346,325672.25999999995,300022.SZ,300022,2020-01-21,4.08,-1.4705882352941346,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-22,4.03,3.98,4.05,3.94,70322.0,-0.995024875621886,279881.56,300022.SZ,300022,2020-01-22,4.02,-0.995024875621886,0.0,1,3,0.0,0.0,0.0,0.0
